Date,ANAホールディングス,HOYA,JXTGホールディングス,KDDI,MS＆ADインシュアランスグループホールディングス,SMC,SOMPOホールディングス,SUBARU,みずほフィナンシャルグループ,りそなホールディングス,アサヒグループホールディングス,アステラス製薬,イオン,エムスリー,エーザイ,オムロン,オリエンタルランド,オリックス,オリンパス,キヤノン,キリンホールディングス,キーエンス,クボタ,シスメックス,シマノ,スズキ,セコム,セブン＆アイ・ホールディングス,ソニー,ソフトバンク,ダイキン工業,テルモ,デンソー,トヨタ自動車,ニトリホールディングス,バンダイナムコホールディングス,パナソニック,ファナック,ファーストリテイリング,ブリヂストン,マキタ,ユニ・チャーム,リクルートホールディングス,レーザーテック,三井不動産,三井住友トラスト・ホールディングス,三井住友フィナンシャルグループ,三井物産,三菱UFJフィナンシャル・グループ,三菱ケミカルホールディングス,三菱商事,三菱地所,三菱重工業,三菱電機,中外製薬,丸紅,京セラ,任天堂,伊藤忠商事,住友不動産,住友商事,住友金属鉱山,住友電気工業,信越化学工業,味の素,塩野義製薬,大和ハウス工業,大塚ホールディングス,富士フイルムホールディングス,富士通,小松製作所,小野薬品工業,日本たばこ産業,日本取引所グループ,日本製鉄,日本郵政,日本郵船,日本電信電話,日本電産,日産自動車,日立製作所,旭化成,本田技研工業,村田製作所,東レ,東京エレクトロン,東京海上ホールディングス,東日本旅客鉄道,東海旅客鉄道,東芝,武田薬品工業,積水ハウス,第一三共,第一生命ホールディングス,花王,西日本旅客鉄道,資生堂,野村ホールディングス,銘柄名,Ｚホールディングス
2019-06-30,99.65049991607665,3141.725,520.792497253418,1413.8125,1610.7875,37999.75,1718.225,16541.0,1567.6,3949.275,4894.75,1488.1375,505.64000091552737,2010.375,6276.15,5413.25,13351.0,359.60750045776365,7892.0,5277.5,2307.8625,31551.0,1742.075,7457.825,1244.025,2573.4625,13315.625,3679.025,5478.225,9280.8,13704.625,3161.5375,1108.08125,919.708332824707,21704.99990234375,3837.425,872.4600036621093,6899.575,5025.8625,4213.275,3590.0,1867.925,3487.725,1960.8125,2050.8375,3775.8,1530.45,14910.125,448.50499801635743,736.8575012207032,3294.375,4038.275,761.4199996948242,1388.0375,2363.7500061035157,1742.3875,1546.8666687011719,1999.6375,710.3124984741211,10281.025,2876.45,2994.1125,1359.775,9382.425,1875.7375,6121.975,3276.45,3628.05,5353.5,7512.85,2476.725,1931.5,2486.525,3463.65,1834.2,1207.85,3624.125,2754.1375,7044.1875,1329.854995727539,3914.575,1143.625,5136.625,4725.275,800.4625015258789,1608.8625,2667.7875,8756.6,548.525,3361.125,3747.225,1778.85,1971.6666595458985,1818.4333282470702,8410.25,4493.1,8273.525,4201.925,19308.375,310.15
2019-07-31,102.03590878573331,3128.443181818182,525.4931883378463,1438.715909090909,1622.2613636363637,40498.63636363636,1712.75,15735.681818181818,1643.5227272727273,3912.931818181818,4845.909090909091,1552.4886363636363,525.2568192915483,2046.1363636363637,6015.454545454545,5481.363636363636,13955.227272727272,370.59545482288706,8188.022727272727,5607.954545454545,2345.2045454545455,32805.681818181816,1730.0113636363637,7459.136363636364,1196.6136363636363,2699.7386363636365,14551.477272727272,3758.6136363636365,5902.840909090909,8906.931818181818,14126.477272727272,3204.6136363636365,1170.6704545454545,937.4583337957209,22408.560768821022,4054.6363636363635,922.9295446222478,7070.840909090909,5328.681818181818,4216.318181818182,3688.75,1883.8295454545455,3600.2272727272725,2335.8522727272725,2022.75,3833.7727272727275,1577.4772727272727,17047.727272727272,452.24317793412644,751.8159068714489,3203.8863636363635,3980.4772727272725,764.8227233886719,1451.0568181818182,2440.2272782759233,1796.8977272727273,1618.7727328213778,2098.4886363636365,724.0340936834162,10098.772727272728,2933.534090909091,3170.3636363636365,1398.6818181818182,10200.386363636364,1851.7613636363637,6219.636363636364,3170.068181818182,3845.818181818182,5403.022727272727,7909.909090909091,2516.7272727272725,1984.465909090909,2438.0113636363635,3572.8636363636365,1800.4204545454545,1155.1363636363637,3639.1136363636365,2839.659090909091,7262.897727272727,1398.6363608620384,4018.068181818182,1132.534090909091,4667.545454545455,4699.045454545455,779.3795457319779,1642.375,2560.375,8831.181818181818,609.1060610684482,3393.5227272727275,3790.7954545454545,1865.7272727272727,2034.0984829989347,1884.0378861860795,8252.363636363636,4374.613636363636,8126.954545454545,4407.363636363636,19597.272727272728,325.6136363636364
2019-08-31,98.99190557570685,2795.1428571428573,448.58809552873885,1492.1666666666667,1427.642857142857,38776.42857142857,1599.595238095238,15248.809523809523,1510.607142857143,3472.5,4831.738095238095,1447.8095238095239,506.1952376592727,2255.809523809524,5432.738095238095,5074.166666666667,15025.238095238095,388.73571632021947,8389.595238095239,6090.476190476191,2171.345238095238,30485.714285714286,1560.4761904761904,6687.4047619047615,1234.2619047619048,2724.3571428571427,15028.92857142857,3703.8333333333335,5898.190476190476,8755.07142857143,13293.809523809523,3202.0476190476193,1101.7440476190477,836.4960327148438,21077.380719866072,3987.2380952380954,825.326189313616,6403.190476190476,4974.0952380952385,3989.809523809524,3128.5476190476193,1876.8690476190477,3449.595238095238,2842.2619047619046,1996.0595238095239,3537.214285714286,1544.2857142857142,18630.35714285714,417.1714274088542,723.8238089425223,3106.8214285714284,3954.3571428571427,663.6761866978237,1290.607142857143,2496.2698509579614,1653.25,1519.4127081008185,2068.3928571428573,667.9214317685082,10009.880952380952,2625.0,2976.4523809523807,1225.8095238095239,10634.642857142857,1908.654761904762,5752.309523809524,3164.345238095238,4166.4047619047615,4720.261904761905,8332.047619047618,2281.1190476190477,1977.345238095238,2280.5238095238096,3422.7380952380954,1488.25,993.3095238095239,3598.3333333333335,2743.2738095238096,6923.869047619048,1372.1095290411085,3663.5238095238096,954.0452372233073,3971.4761904761904,4064.4523809523807,746.0119047619048,1548.2142857142858,2401.1190476190477,8812.52380952381,537.3174627394903,3244.6428571428573,3614.785714285714,1828.3333333333333,2321.4999883742557,1850.7380981445312,7693.952380952381,4188.523809523809,7995.166666666667,4210.023809523809,18190.35714285714,277.6904761904762
2019-09-30,104.25421082346062,2861.9210526315787,481.20526123046875,1513.171052631579,1580.592105263158,44009.21052631579,1772.157894736842,15877.105263157895,1672.5394736842106,3805.2894736842104,5210.368421052632,1531.8684210526317,547.6236829255756,2428.4210526315787,5415.131578947368,5704.210526315789,15868.026315789473,458.576316431949,8846.394736842105,6402.894736842105,2188.657894736842,32763.42105263158,1624.0526315789473,7069.868421052632,1391.6315789473683,3014.3552631578946,15550.0,4031.7105263157896,6371.710526315789,9465.78947368421,13976.578947368422,3225.7763157894738,1180.7697368421052,931.2850871839022,21474.824527138157,4141.1578947368425,873.4526351125617,6656.9473684210525,4618.9473684210525,4191.210526315789,3264.6052631578946,1964.3947368421052,3268.0789473684213,3257.7631578947367,2064.6973684210525,3677.7368421052633,1643.2368421052631,20404.473684210527,456.40526380037005,788.9947333084909,3341.2894736842104,4024.1052631578946,690.8763202868009,1403.092105263158,2616.140335886102,1784.921052631579,1648.043855365954,2228.9736842105262,726.1842105263158,10284.736842105263,2720.434210526316,3342.2631578947367,1351.0263157894738,11438.28947368421,1981.407894736842,5827.131578947368,3473.5263157894738,4556.3421052631575,4704.789473684211,8560.421052631578,2427.1447368421054,1985.0,2294.157894736842,3520.684210526316,1521.5,1003.1578947368421,3697.9473684210525,2866.0131578947367,7266.973684210527,1448.6684184827302,3982.5263157894738,1049.7236842105262,4318.710526315789,4257.289473684211,794.0263093647204,1711.25,2612.1973684210525,9216.947368421053,592.6140329461349,3359.7368421052633,3742.5789473684213,2020.25,2317.421046206826,1921.6052663702715,7859.921052631579,4325.789473684211,8645.684210526315,4540.5,19560.78947368421,299.1842105263158
2019-10-31,106.43952378772553,2899.0,497.0952402750651,1495.4285714285713,1717.392857142857,46496.666666666664,1758.095238095238,15993.333333333334,1644.892857142857,3850.3809523809523,5406.333333333333,1647.9285714285713,550.5119033086868,2633.6190476190477,6239.261904761905,6151.9047619047615,16525.595238095237,483.35238066173736,8992.119047619048,6767.738095238095,2282.8333333333335,33121.78571428572,1662.202380952381,6969.952380952381,1448.6666666666667,3004.464285714286,15984.880952380952,4214.119047619048,6325.619047619048,9820.119047619048,14538.095238095239,3429.8571428571427,1201.4166666666667,952.218251546224,21800.39685639881,3936.9523809523807,894.1095203218006,6856.166666666667,4170.666666666667,4324.428571428572,3331.785714285714,2122.9761904761904,3469.5,3775.4761904761904,2085.309523809524,3737.5476190476193,1651.7619047619048,21527.85714285714,460.3809516543434,802.9571416945685,3488.3571428571427,3991.2380952380954,676.1976187569754,1487.5714285714287,2813.6904645647323,1778.797619047619,1906.8412679036458,2250.345238095238,732.5452401297433,10249.809523809523,2683.3333333333335,3413.714285714286,1409.3333333333333,11769.404761904761,2029.4166666666667,6071.4047619047615,3613.0238095238096,4316.976190476191,4694.5952380952385,8832.904761904761,2479.059523809524,1945.1666666666667,2401.5238095238096,3435.3571428571427,1524.845238095238,990.1714288620722,3691.0714285714284,2949.2023809523807,7480.0,1459.2999994187128,4098.714285714285,1144.6309523809523,4738.547619047619,4328.238095238095,807.4880937848773,1699.9642857142858,2693.1666666666665,9244.690476190477,634.1507975260416,3623.3333333333335,3773.0714285714284,2244.214285714286,2249.984136672247,1902.6587320963542,8233.333333333334,4516.690476190476,8646.785714285714,4308.785714285715,20376.666666666668,324.8333333333333
2019-11-30,109.65500011444092,3006.8375,501.56500244140625,1494.8375,1802.6,49479.25,1860.525,17703.75,1756.7,4165.275,5286.325,1832.8375,580.1324996948242,2817.3,7622.5,6527.25,15395.0,530.8749946594238,9624.0,6664.55,2456.5,37261.5,1707.7125,7621.025,1654.5875,2983.6625,16875.0,4166.575,6736.35,9655.275,15501.125,3781.825,1248.44375,1036.1,22474.249755859375,4219.55,1001.2625,7178.425,4257.025,4458.7,3658.5,2256.3625,3831.875,4248.75,2040.9625,3982.325,1703.175,22324.0,473.3425018310547,847.0699981689453,3525.6,3897.775,687.3674987792969,1548.15,3104.758349609375,1918.7625,2066.1833404541017,2381.025,797.295002746582,10086.3,2841.4625,3444.525,1563.75,11940.875,1865.5875,6381.0,3470.575,4693.775,5047.525,9683.925,2608.7625,2297.725,2466.3125,3525.65,1604.9875,1019.9574996948243,3735.075,3168.925,8107.25,1549.6499969482422,4169.15,1233.9125,5012.275,4333.675,760.3424987792969,1660.8875,2776.0375,9736.2,654.7666702270508,3621.125,4377.55,2360.975,2270.975,1972.2833312988282,8552.0,4494.45,8168.325,4362.05,21124.0,385.425
2019-12-31,111.67380923316593,3064.0,497.5809515090216,1454.3095238095239,1831.404761904762,50630.0,1932.2142857142858,17756.428571428572,1823.7619047619048,4283.0,5149.928571428572,1875.5833333333333,590.0952337355841,3139.2380952380954,8149.333333333333,6527.619047619048,14964.047619047618,559.8857145763579,10089.666666666666,6620.261904761905,2463.535714285714,38849.76190476191,1738.797619047619,7560.380952380952,1647.4761904761904,2799.904761904762,17286.071428571428,4061.3333333333335,7290.976190476191,9675.619047619048,15684.404761904761,3887.3809523809523,1255.3809523809523,1048.611095610119,21985.793619791668,4430.952380952381,1034.3333333333333,7455.309523809524,4463.833333333333,4277.190476190476,3738.4523809523807,2257.154761904762,4063.1190476190477,5095.476190476191,2072.809523809524,4036.904761904762,1693.7857142857142,23484.64285714286,480.94285801478793,824.8285711379278,3613.1190476190477,3874.4285714285716,667.6166643415179,1529.702380952381,3317.6587437220983,1966.0595238095239,2195.9365118117557,2499.6785714285716,821.1642877487909,9911.809523809523,2917.464285714286,3468.8809523809523,1660.6785714285713,12004.047619047618,1822.047619047619,6595.0,3407.4523809523807,4922.023809523809,5244.166666666667,10208.738095238095,2661.6785714285716,2468.3928571428573,2509.2738095238096,3632.7619047619046,1694.9880952380952,1039.9761904761904,3685.714285714286,3226.309523809524,7800.476190476191,1548.038083031064,4406.142857142857,1248.154761904762,4682.023809523809,4255.428571428572,749.1666652134487,1650.392857142857,2716.6309523809523,9536.690476190477,657.3492053803943,3759.8809523809523,4412.214285714285,2371.2976190476193,2393.984113420759,2040.626985095796,8936.380952380952,4428.690476190476,7772.214285714285,4365.238095238095,21047.97619047619,409.95238095238096
2020-01-31,112.06947366814865,3036.1710526315787,491.80526171232526,1472.0263157894738,1721.5,51235.52631578947,1981.8684210526317,17307.63157894737,1854.4473684210527,4172.315789473684,5000.5526315789475,1884.2763157894738,575.7473706697162,3259.6052631578946,8208.868421052632,6394.736842105263,15260.921052631578,567.4815770199424,10723.947368421053,6478.289473684211,2424.9473684210525,39199.73684210526,1728.1315789473683,7724.0526315789475,1755.0131578947369,2747.2236842105262,17134.736842105263,4163.368421052632,7830.315789473684,9708.0,15613.421052631578,3914.7368421052633,1204.2302631578948,998.8815741288034,20744.56126644737,4288.210526315789,1084.6315789473683,7603.315789473684,4768.236842105263,3973.6052631578946,4002.2368421052633,2287.907894736842,4250.315789473684,5736.0526315789475,2124.1052631578946,3943.0263157894738,1651.157894736842,24567.36842105263,464.4842095626028,809.9631588584498,3718.184210526316,3857.815789473684,622.2157881887335,1542.2105263157894,3495.447381270559,1961.3684210526317,2223.6579011615954,2567.75,810.2368421052631,9895.552631578947,2871.684210526316,3377.4736842105262,1594.7763157894738,12321.578947368422,1801.092105263158,6802.578947368421,3460.7894736842104,4902.605263157895,5615.736842105263,10894.473684210527,2589.5526315789475,2563.592105263158,2374.0131578947367,3650.657894736842,1634.25,1016.4473684210526,3546.3684210526317,3269.7894736842104,7529.013157894737,1543.9999935752467,4512.789473684211,1174.75,4789.763157894737,4208.789473684211,743.1842073139392,1634.2236842105262,2765.3552631578946,9388.157894736842,626.3245592619244,3751.315789473684,4343.894736842105,2396.3289473684213,2425.49123021176,2020.9736809981496,9035.684210526315,4373.026315789473,7581.605263157895,4216.473684210527,20399.342105263157,454.86842105263156
2020-02-29,111.16888809204102,2831.777777777778,467.6111111111111,1490.5555555555557,1663.9166666666667,48580.555555555555,1971.1944444444443,16356.388888888889,1891.4027777777778,3991.1111111111113,4847.944444444444,1883.5833333333333,563.8500010172526,3112.3611111111113,8869.694444444445,6561.944444444444,13894.444444444445,548.6861122979058,10167.222222222223,6036.833333333333,2352.597222222222,37648.055555555555,1669.986111111111,7669.75,1976.4583333333333,2806.2916666666665,16890.694444444445,4161.027777777777,7471.722222222223,9512.861111111111,15564.583333333334,3811.75,1109.25,974.0231492784288,19342.962999131945,3971.4444444444443,1175.9722222222222,7264.222222222223,5214.861111111111,3887.5,4132.222222222223,2267.2083333333335,4391.305555555556,5556.111111111111,2108.3194444444443,3800.1111111111113,1594.9444444444443,24554.444444444445,448.39444563123914,784.4805619981554,3784.0,4017.0555555555557,535.7249993218315,1550.0277777777778,3975.0925971137153,1924.375,2111.222205268012,2593.6388888888887,782.6388854980469,9277.444444444445,2840.3055555555557,3076.1944444444443,1447.25,13291.666666666666,1944.3194444444443,6420.277777777777,3383.4166666666665,4672.166666666667,5435.666666666667,12373.75,2324.6666666666665,2547.3055555555557,2265.9861111111113,3683.472222222222,1437.2916666666667,1003.3944430881077,3300.3055555555557,3357.75,7051.041666666667,1530.1888970269097,4104.5,1052.3138902452256,4914.0,3848.472222222222,700.625,1647.6527777777778,2887.847222222222,8813.527777777777,572.8240704006619,3408.3055555555557,4224.416666666667,2349.972222222222,2547.8518269856772,2034.3148159450955,8483.666666666666,4210.083333333333,6936.194444444444,4238.194444444444,20187.222222222223,434.1388888888889
2020-03-31,98.09666697184245,2418.5238095238096,371.7738095238095,1426.5714285714287,1255.7261904761904,42052.380952380954,1803.1666666666667,14887.619047619048,1463.4404761904761,3166.845238095238,3590.4761904761904,1604.1666666666667,439.7452356247675,2842.9523809523807,7421.761904761905,5354.166666666667,13300.714285714286,443.1999998546782,9173.952380952382,5321.738095238095,2102.3214285714284,32891.42857142857,1336.7738095238096,6910.238095238095,1678.6785714285713,2227.785714285714,14322.619047619048,3543.0476190476193,6302.571428571428,8304.285714285714,13274.285714285714,3361.559523809524,894.8571428571429,829.8849225725446,16068.25402250744,3708.6666666666665,851.278565906343,6252.333333333333,4060.7738095238096,3287.464285714286,3249.785714285714,2104.2261904761904,3165.5476190476193,4863.571428571428,1639.75,2904.785714285714,1273.047619047619,20479.64285714286,344.9023793538411,654.6380949474517,3553.5714285714284,2854.035714285714,399.2166668119885,1272.9642857142858,3777.2222202845983,1583.5119047619048,1773.03175281343,2226.7976190476193,594.1785728817895,8092.785714285715,2424.940476190476,2308.9285714285716,1134.8976193382628,10562.595238095239,1810.7261904761904,5152.976190476191,2664.2380952380954,3752.6428571428573,4968.547619047619,9900.595238095239,1872.7380952380952,2160.6309523809523,2023.9761904761904,3025.3571428571427,1010.5809529622396,835.7999994187128,2807.345238095238,3057.0238095238096,5860.226190476191,1317.8523850213915,3163.214285714286,767.019047328404,3341.1428571428573,2918.3214285714284,503.4880945114862,1320.202380952381,1995.845238095238,7045.880952380952,450.968253726051,2568.285714285714,3403.904761904762,1847.0357142857142,2181.857137044271,1655.984130859375,8058.523809523809,3423.9761904761904,6179.833333333333,3308.8928571428573,15392.02380952381,353.26190476190476
2020-04-30,102.23761912754604,2235.714285714286,373.76190476190476,1385.7857142857142,1313.4166666666667,47999.52380952381,2067.214285714286,15627.619047619048,1228.7380952380952,3087.0119047619046,3549.5476190476193,1720.7142857142858,412.8547588530041,3711.309523809524,7537.071428571428,5834.047619047619,13999.642857142857,429.1071421305339,9749.261904761905,5379.690476190476,2095.059523809524,36570.71428571428,1272.8214285714287,7637.5952380952385,1619.154761904762,1989.8214285714287,15786.07142857143,3564.404761904762,6649.928571428572,8986.642857142857,13450.0,3627.9285714285716,907.4642857142857,793.3174612862723,15634.36509486607,4485.214285714285,792.1476193382626,5976.476190476191,4304.880952380952,3253.5,3318.5714285714284,2168.9285714285716,2735.5238095238096,5639.285714285715,1683.904761904762,2709.940476190476,1224.4285714285713,21902.02380952381,326.2452385312035,617.7261933826264,4047.404761904762,2670.7976190476193,354.1642848423549,1298.0595238095239,4421.111083984375,1477.2380952380952,1873.9365176246279,2120.4761904761904,502.6357174827939,8094.928571428572,2197.1428571428573,2417.2619047619046,1053.9452383858818,11237.619047619048,1897.9404761904761,5500.690476190476,2644.5,4212.690476190476,5426.761904761905,10167.214285714286,1873.75,2528.3214285714284,1977.5119047619048,3021.2619047619046,855.6785743350074,833.4571416945685,2400.035714285714,3157.6666666666665,5543.261904761905,1315.0047607421875,3060.190476190476,728.0238153366815,2952.1428571428573,2632.3571428571427,466.98809523809524,1187.1190476190477,1874.452380952381,6966.642857142857,447.8015877859933,2614.190476190476,3584.8809523809523,1778.392857142857,2455.111107235863,1659.1904761904761,8704.52380952381,3457.2380952380954,6518.309523809524,3438.0476190476193,14921.904761904761,371.1666666666667
2020-05-31,97.3694445292155,2190.3194444444443,394.8249986436632,1403.486111111111,1298.486111111111,52572.22222222222,2170.75,18809.444444444445,1312.5833333333333,3006.4305555555557,3792.25,1777.6805555555557,422.69444359673395,4001.9444444444443,7593.888888888889,6810.0,14739.861111111111,428.8249977959527,9788.833333333334,5673.583333333333,2072.0833333333335,40341.666666666664,1407.3472222222222,7944.416666666667,1703.2916666666667,2203.5694444444443,17563.333333333332,3536.4444444444443,6861.0,9096.25,14631.944444444445,3782.1666666666665,959.6597222222222,860.750001695421,17816.111219618055,4455.138888888889,855.8361104329427,5710.361111111111,4638.388888888889,3336.027777777778,3483.1944444444443,2258.9305555555557,3377.0833333333335,7964.444444444444,1701.638888888889,2872.4305555555557,1239.4444444444443,22272.63888888889,343.4666680230035,608.0694461398655,4001.6666666666665,2900.027777777778,377.4249988132053,1347.9027777777778,4569.675916883681,1587.263888888889,2018.1481594509548,2231.6388888888887,489.1750005086263,8029.75,2380.9305555555557,2821.375,1144.3194444444443,12125.138888888889,1898.2083333333333,5841.416666666667,2616.8055555555557,4305.638888888889,5043.388888888889,10586.055555555555,2079.75,2784.277777777778,2035.486111111111,2973.5833333333335,933.2527787950304,796.0583292643229,2397.722222222222,3146.1111111111113,6325.666666666667,1297.5888807508682,3250.5,778.5916646321615,3545.8888888888887,2664.2638888888887,498.1111128065321,1251.625,1958.5416666666667,6540.555555555556,482.66666497124567,2785.6944444444443,3993.1944444444443,1898.236111111111,2813.222222222222,1512.3425971137153,8624.777777777777,3540.4444444444443,6497.722222222223,3349.6388888888887,18069.722222222223,441.1388888888889
2020-06-30,99.97863630814986,2261.8863636363635,402.57954545454544,1373.6818181818182,1403.159090909091,55800.454545454544,2411.4772727272725,20385.227272727272,1438.409090909091,3128.2045454545455,4107.522727272727,1822.0681818181818,445.2000011097301,4473.75,8598.636363636364,7241.136363636364,15159.318181818182,486.25454850630325,10176.09090909091,6061.954545454545,2302.215909090909,44605.681818181816,1596.0568181818182,8148.068181818182,1943.1363636363637,2426.0,19849.545454545456,3711.7727272727275,7426.159090909091,9481.15909090909,16626.25,4141.931818181818,1039.6988636363637,958.7462061101741,21001.894087357956,4721.431818181818,961.0090900767933,6026.818181818182,5288.113636363636,3578.5454545454545,3879.7727272727275,2441.0454545454545,3823.4545454545455,9935.90909090909,1699.0,3177.7386363636365,1364.6818181818182,24032.272727272728,383.03636169433594,648.1659102006392,4200.045454545455,3066.681818181818,427.2795444835316,1427.0454545454545,5501.439408735795,1678.5454545454545,2119.4696877219462,2338.1136363636365,521.104550448331,8198.022727272728,2398.375,3036.909090909091,1299.25,12480.454545454546,1828.8977272727273,6616.477272727273,2716.8863636363635,4839.136363636364,4860.431818181818,12090.454545454546,2217.5795454545455,3078.125,2148.306818181818,3141.3636363636365,1064.6181820956144,797.5409143621272,2639.1704545454545,3186.8863636363635,6875.25,1381.6681823730469,3563.090909090909,889.8409118652344,3835.3863636363635,2744.3522727272725,524.4704555164684,1285.3522727272727,2111.568181818182,6513.227272727273,521.1818188753995,3274.068181818182,4021.8863636363635,2080.6022727272725,2991.9772727272725,1598.6818098588424,8784.5,3580.8636363636365,6991.863636363636,3734.681818181818,19677.5,483.52272727272725
2020-07-31,101.06142843337287,2070.4285714285716,386.2571425664993,1404.25,1323.5357142857142,56912.142857142855,2637.095238095238,21584.761904761905,1268.2857142857142,2968.6190476190477,3664.809523809524,1734.1904761904761,418.721427554176,4918.690476190476,8638.309523809523,7350.714285714285,13934.166666666666,491.4452362060547,10624.404761904761,5903.142857142857,2142.785714285714,44975.47619047619,1581.4642857142858,8089.952380952381,1990.4404761904761,2230.9285714285716,22310.35714285714,3436.3571428571427,7931.761904761905,9351.309523809523,18646.54761904762,4034.6666666666665,1042.4464285714287,916.702382405599,20056.74609375,4841.5952380952385,991.1571422758557,5848.4047619047615,6317.428571428572,3418.190476190476,4043.690476190476,2503.7261904761904,3593.0,10425.238095238095,1577.9285714285713,3038.2619047619046,1351.857142857143,29034.52380952381,371.76666768391925,623.4476202101935,4699.9047619047615,2810.1190476190477,403.21428644089474,1401.357142857143,5337.0952380952385,1610.702380952381,2191.4920770554318,2359.9285714285716,497.0738060360863,7115.523809523809,2263.3214285714284,3214.345238095238,1253.1190476190477,12800.0,1755.7857142857142,6356.714285714285,2505.345238095238,4542.119047619048,4716.976190476191,13401.07142857143,2242.1071428571427,2988.440476190476,1938.5,2875.7976190476193,1002.8880964006696,768.3000008719308,2397.404761904762,3289.6428571428573,7552.309523809524,1341.3618948800224,3381.9285714285716,835.6357145763579,3717.3333333333335,2599.1309523809523,499.91428629557294,1249.3095238095239,1827.9761904761904,5437.9047619047615,491.25396655854723,3458.5714285714284,3766.309523809524,2067.6071428571427,2896.68252999442,1568.8888869512648,8467.380952380952,3038.2619047619046,6666.476190476191,3684.8809523809523,19838.571428571428,527.3809523809524
2020-08-31,102.86650047302246,1833.675,403.8599983215332,1468.35,1455.1375,58238.25,2630.5,22991.0,1281.5125,2955.0875,3612.8,1714.95,427.7225006103516,6000.75,9228.5,7749.75,13684.875,531.6925018310546,10388.625,6427.1,2068.825,44041.5,1726.2875,8488.5,2071.3125,2170.125,22597.125,3399.5375,8531.0,9894.8,19466.125,4196.075,1063.725,900.0083312988281,20269.083349609376,5260.525,937.1450012207031,6138.875,6460.25,3272.7,4781.0,2651.3375,3758.45,8656.0,1645.0125,3022.0375,1403.325,28287.375,374.66000213623045,614.6200012207031,4622.4,3037.9625,411.77499923706057,1435.3125,4865.475,1745.9875,2186.2333374023438,2553.325,576.0775032043457,6567.175,2289.85,3300.3,1255.0,12801.0,1942.7625,6128.775,2666.825,4652.875,4970.4,14036.5,2206.9,3193.1625,1993.1,2867.6375,1008.5374969482422,769.7700012207031,2421.8875,3292.1,8810.7,1401.0999969482423,3484.925,884.4300003051758,4140.2,2586.5125,498.50500106811523,1267.4375,1824.1375,5100.575,532.5083358764648,3359.75,3969.625,2079.075,3158.3083312988283,1592.1666717529297,8037.175,2918.55,5843.35,3831.25,18848.875,663.85
2020-09-30,92.54850006103516,1748.3125,402.63000106811523,1297.825,1552.375,57781.0,2882.25,21523.5,1363.9875,3013.625,3706.625,1623.0375,439.66249694824216,6360.0,9422.475,8032.25,14699.625,522.8799995422363,11092.125,6975.325,2014.5125,45574.25,1888.125,9593.475,2102.9125,2158.175,21530.0,3359.45,8219.875,9872.475,19640.25,4287.875,1128.5875,872.283332824707,21828.666552734376,5929.525,950.8275024414063,6132.375,6270.35,3394.45,4945.375,2711.5,4158.75,8187.0,1632.575,3089.1625,1402.2,26749.875,385.88500061035154,644.9774993896484,4607.85,3132.9,399.45499954223635,1464.5125,4718.925,1913.9875,2216.3500061035156,2757.1875,642.3074996948242,6823.9,2585.5,3441.35,1243.8625,13789.375,2068.5,5801.45,2859.6625,4515.85,5071.025,13835.5,2347.525,3283.775,1969.9375,2945.975,1075.2625,757.7649993896484,2702.3875,2854.175,9382.05,1401.7650024414063,3627.075,928.6125015258789,4425.0,2538.5125,498.4250007629395,1340.125,1927.1625,5575.075,600.5166656494141,2941.275,3899.1,1996.375,3217.1250061035157,1623.5000030517579,8051.125,3192.65,6130.75,3846.425,20315.625,672.475
2020-10-31,89.4023809887114,1729.7380952380952,372.88809567406065,1207.797619047619,1591.857142857143,57410.47619047619,2718.5714285714284,21248.095238095237,1335.0119047619048,2854.4761904761904,3628.904761904762,1492.8214285714287,423.2428545270647,6902.976190476191,8902.261904761905,7922.142857142857,15077.857142857143,487.6452375139509,12164.642857142857,7849.523809523809,1968.904761904762,49122.857142857145,1917.452380952381,10152.809523809523,2106.095238095238,2065.5833333333335,21697.738095238095,3422.1190476190477,7935.785714285715,9183.833333333334,19275.35714285714,4027.714285714286,1211.720238095238,850.5714314778646,23575.476097470237,5752.261904761905,894.721428280785,6070.190476190476,6988.976190476191,3430.3809523809523,4917.261904761905,2805.714285714286,4227.857142857143,9158.809523809523,1609.9166666666667,2968.5833333333335,1311.297619047619,28525.95238095238,355.3095245361328,611.8476213727679,4914.380952380952,2961.7023809523807,380.36428615025113,1394.9880952380952,4398.119047619048,1800.0357142857142,2378.920631045387,2615.5476190476193,592.7547636486236,6130.761904761905,2481.3333333333335,3317.1666666666665,1178.5595238095239,14192.142857142857,2120.904761904762,5249.380952380952,2866.8214285714284,4154.5,5305.785714285715,13826.904761904761,2434.154761904762,3241.7619047619046,1987.7261904761904,2904.464285714286,1070.2523803710938,734.3261907668341,2401.535714285714,2739.5119047619046,10331.619047619048,1387.7571469261534,3606.785714285714,928.2761855352493,4649.857142857143,2276.690476190476,491.4404754638672,1235.0,1877.642857142857,4951.214285714285,646.047617594401,2786.5238095238096,3578.285714285714,1799.6785714285713,2823.309523809524,1601.531741187686,7734.285714285715,2870.0,6642.0952380952385,3862.904761904762,20875.238095238095,745.5119047619048
