,TYO,F,GM,HMC,STLA,TOYOF
2022-12-23,13.04,11.36,33.83,23.12,14.05,13.638
2022-12-30,13.44,11.63,33.64,22.86,14.2,13.61
2023-01-06,12.46,12.58,35.91,23.96,15.45,13.728
2023-01-13,12.23,12.72,36.51,23.58,15.42,14.0
2023-01-20,12.18,12.4,35.35,23.95,15.2,14.61
2023-01-27,12.2784,13.27,37.95,24.59,15.54,14.7
2023-02-03,12.35,13.23,41.13,24.6,16.33,14.5
2023-02-10,13.03,12.73,41.35,25.13,16.4,14.38
2023-02-17,13.26,12.89,43.17,25.54,17.29,14.295
2023-02-24,13.75,11.88,39.18,25.75,17.57,13.5815
2023-03-03,13.8,13.08,41.01,26.7,18.83,13.9101
2023-03-10,12.85,12.1,36.52,26.26,17.6,13.83
2023-03-17,12.03,11.3,33.38,24.93,16.79,13.37
2023-03-24,11.74,11.51,33.71,25.7,17.25,13.582
2023-03-31,12.04,12.6,36.68,26.49,18.19,14.112
2023-04-06,11.52,12.33,34.59,26.13,17.65,13.9
2023-04-14,12.1175,12.52,34.49,26.1,18.86,13.575
2023-04-21,12.2704,11.81,33.55,25.92,17.68,13.35
2023-04-28,11.87,11.88,33.04,26.58,16.63,13.73
2023-05-05,11.8105,11.99,33.26,26.75,16.3,13.75
2023-05-12,11.92,11.67,32.4,27.75,16.2,14.308
2023-05-19,12.66,11.65,32.66,28.2,16.78,14.205
2023-05-26,12.98,12.09,33.29,28.67,15.9,13.98
2023-06-02,12.75,12.39,34.28,29.59,15.87,14.615
2023-06-09,12.92,13.74,36.23,30.74,16.24,14.85
2023-06-16,12.9605,14.42,37.96,31.32,17.34,16.558
2023-06-23,12.79,14.02,36.18,30.15,16.46,15.335
2023-06-30,13.04,15.13,38.56,30.31,17.54,16.045
2023-07-07,13.7803,14.98,39.61,30.18,17.74,16.24
2023-07-14,12.9995,14.98,40.0,30.23,18.76,15.935
2023-07-21,13.08,13.93,38.55,31.18,18.35,16.285
2023-07-28,13.42,13.26,38.05,31.79,20.55,16.71
2023-08-04,13.61,12.89,36.57,30.85,19.43,17.065
2023-08-11,14.07,12.14,33.89,31.88,18.41,16.71
2023-08-18,14.3281,11.96,33.12,30.35,17.82,16.13
2023-08-25,14.3446,11.91,32.95,31.12,18.18,16.5
2023-09-01,14.25,12.14,33.54,32.33,18.23,17.22
2023-09-08,14.41,12.3,32.95,33.55,18.23,17.7
2023-09-15,14.61,12.61,33.95,35.34,19.25,18.936
2023-09-22,14.91,12.43,32.58,35.23,19.35,18.4
2023-09-29,15.39,12.42,32.97,33.64,19.13,18.0
